湖南湘中南钢材物流有限责任公司
广州佰康广告有限公司
南县土地储备发展中心
长沙方泰医院有限公司
湖南大桥物流服务有限公司
长沙市雨花区黎托街道大桥社区筹建委员会
慈利县经济投资发展有限责任公司
中国信达资产管理股份有限公司
湖南和成茂石材有限公司
社会公众股
郴州市华兴塑料管厂
广州市振辉信息科技有限公司
湖南闵通电气有限公司
长沙高新技术产业开发区土地储备中心
永州世安手足外科医院（普通合伙）
湖南外国语职业学院
长沙领航投资合伙企业（有限合伙）
长沙和寰建材商贸有限公司
长沙聚家装饰设计工程有限公司
长沙碧雅农产品贸易有限公司
桃源县职业中等专业学校
桃江县土地储备中心
醴陵市冰冰服饰广场
嘉禾县土地收购储备中心
湘乡金联建材有限公司
湖南北控威保特环境科技股份有限公司
鼎城区武陵镇桥南市场辉越日用品商行
湖南浏阳制造产业基地管理委员会
常德安福环保科技投资中心（有限合伙）
湘潭综合交通建设投资有限公司
湖南高尔夫旅游职业学院
长沙市芙蓉区渐顺木业商行
汉寿县第一中学
常德市邵阳商会
广州市粤膳品贸易有限公司
湖南省机关事务管理局
长沙市家润多建材超市有限公司
长沙市望城区自来水有限公司
双牌县非税收入征收管理局
湖南省石油化工技工学校
怀化嘉瑞义乌小商品城有限公司
常德市鼎城区国土储备中心
广州市品昶食品有限公司
安化亿泰贸易有限公司
长沙市芙蓉区联祥通讯行
攸县上云桥镇中学
湖南华信稀贵科技股份有限公司
浏阳市牛石出口礼花厂（普通合伙）
祁东县国有资产管理局
常德市鼎城区功永装饰材料商行
长沙市开福区科莱诺装饰材料经营部
长沙君堇百货贸易有限公司
浏阳市镇头杨眉加油站
湖南省省直单位经济适用住房发展中心
长沙市芙蓉区周李貂五金商行
常德市鼎城区供销合作社联合社
宁乡高新技术产业园区管理委员会
中方县国有资产监督管理局
澧县国有资产经营管理中心
永州市荣宸置业有限公司
湖南味菇坊生物科技股份有限公司
浏阳市关口浏阳河植物油厂
浏阳市家年华商业管理有限公司
浏阳市柏泰银河出口烟花贸易有限公司
桃江县桃花江经济开发区建设开发有限公司
常德市帮助困难职工续保缴费协会
浏阳市金仁竹木工艺品有限公司
益阳市润林房地产开发有限公司
长沙市液化石油发展有限责任公司
攸县丰达矿业有限责任公司
株洲双胜贸易有限公司
株洲世纪星实验学校
浏阳市机关幼儿园
湘潭江声实验学校
高管股份
嘉鱼恒鑫脚手架制造有限公司
长沙金霞经济开发区管理委员会
沅江市国有资产管理局
长沙新程职业技术学校
限售流通股
长沙市雨花区天荣茶业商行
长沙市雨花区荣泰茶业商行
常德市鼎城区国土资源储备中心
益阳市帮助困难职工续保缴费协会
安化县财政局
湖南省人民政府
湖南小嘴零售食品贸易有限公司
长沙创智新程教育培训中心
浏阳市小微企业互助担保协会长湘汇分会
长沙市方泰贸易公司
长沙市芙蓉区众湘通讯器材商行
湖南鑫安物流有限公司
宁乡企业家商会
湖南省常德花岩溪国家森林公园管理处
湘乡市供水管理处
长沙鑫田汽车电器有限公司
益阳益瑞通材料科技有限公司
长沙市雨花区嘉豪办公设备经营部
湖南省水库移民经济服务中心
广州桦能装饰有限公司
浏阳市广华塑料五金有限公司
宁乡县历经铺乡昀浩园艺经营部
长沙岳麓科技产业园管理委员会
湖南中博集团股份有限公司
长沙市再就业小额贷款担保中心
临澧县人民医院
长沙市芙蓉区神川机电产品商行
衡阳市财政局
浏阳市青草阪桥烟花制造有限公司
宁乡县非税收入管理局
